"maxO3" "T6" "T9" "T12" "T15" "Ne6" "Ne9" "Ne12" "Ne15" "Vx6" "Vx9" "Vx12" "Vx15" "Vx18" "maxO3v" "Vent12"
71.4 18.1 21.4 24.6 25.7 4 2 7 7 -2.2981 -1.5321 0.5209 0.5209 1.8794 66.8 "S"
69.8 16.9 18.6 22.3 25.2 7 7 7 7 -0.9848 1.9284 -0.342 0.6428 -3.7588 71.4 "S"
59.6 16.9 19.9 23.2 19.1 5 7 6 8 -1.3681 -2.5712 -6.0622 -4.3301 -4.4995 69.8 "W"
79.2 17 19.9 22.6 24.3 8 7 5 5 -1.7321 -3.9392 -4.924 -5.1962 -5.6382 59.6 "W"
63.6 15.4 19 22.4 21.5 5 7 6 7 -1.2856 -3.9392 -4.6985 -5.9088 -4.6985 79.2 "W"
53.6 17.2 18 22.3 24.8 8 8 7 7 -0.3473 -2 -3.5 -5.6382 -3.4641 63.6 "S"
69.6 15 21 24.9 27 6 5 6 5 -1.5321 -3.0642 -3.9392 -1.8794 -1.9696 53.6 "W"
104.2 18 20.2 27.2 30.6 8 7 3 3 2.8191 1.9696 0 1 3 69.6 "S"
123.4 19.2 27.6 33.1 34.9 0 1 1 3 -0.5 1 1.8794 2.8191 2.8191 104.2 "E"
80.6 18.8 23.2 24.3 25.7 6 0 0 0 -2 -1.7101 -1.7101 -2.0521 0 123.4 "N"
70.6 16.3 19.6 21.4 21.7 6 2 1 1 -1.7101 0 2.7362 -2.7362 -2.0521 80.6 "N"
105.6 11.3 20 23.4 25.8 0 0 0 0 -0.9397 2.5712 1.9696 3.0642 1.3681 70.6 "E"
117.2 13.9 22.9 28.1 30.1 1 1 0 0 0.5 2.9544 3.9392 4.924 4.924 105.6 "E"
128 18.4 26.1 31 32.6 1 4 3 5 3 5.6382 6.8937 9 3.7588 117.2 "E"
96.4 19.3 23.7 24.6 24.1 7 5 6 7 -2.5712 -5.1423 -5.1423 -4.5 -3.0782 128 "S"
48 17.1 17.8 21.3 22.4 8 8 7 6 -5.3623 -4.3301 -5.1962 -5.3623 -3.2139 96.4 "W"
56.8 19.6 20.5 22.4 25.4 8 8 8 3 -4 -1.8794 -1.7321 -1.9696 0.342 48 "W"
98.2 17 23.3 28 30.2 9 3 1 0 0.5 2.2981 2.5981 1.5321 2.5981 56.8 "E"
114.6 15.9 25.9 30.7 31.1 1 1 3 3 0 0.866 1.7321 -2.5981 2.5 98.2 "E"
138.8 19.2 25.4 29.6 30.7 2 0 4 5 -0.1736 0.3473 1.0261 2.5712 1.0419 114.6 "N"
140.8 17.9 25.6 32 32.2 5 2 1 3 -0.9397 0 0.3473 2 2.2981 138.8 "N"
134.6 20.5 24 29.9 32.7 7 5 6 6 0 -1.9284 0.766 -2 -1.3681 140.8 "E"
114.8 17.4 22.2 26.3 23.4 5 1 3 8 -1 1.7101 -1.7321 -7 -3 173 "W"
104.4 17.3 19.4 22.7 22.5 7 7 6 7 0.9848 0 -1.2856 -2.2981 0 114.8 "N"
76.6 17.4 20 20.1 19.4 8 6 8 8 0.5209 2 3 2.0521 1.7101 104.4 "N"
75 14.5 18.5 20.1 20.4 1 7 7 7 1.3681 4.5963 5.1962 4.3301 3.2139 76.6 "E"
115.8 16.5 21 24.2 25.4 8 3 2 7 1.5 3.7588 3.8302 4.924 3.9392 75 "E"
144 16.8 24.2 27.2 29.2 0 1 4 6 1.9696 4 5.1962 4.3301 2.5981 115.8 "E"
144.4 17 25.1 30.6 32.4 0 0 1 2 0 0.1736 -0.9848 -3.7588 -2.8191 144 "W"
108.2 17.2 18 20.5 25.7 8 8 7 1 -1 -2.5981 -1.7321 -0.684 2.0521 144.4 "W"
72.4 18.1 19.8 23 23.4 7 3 3 1 -1.3681 -1.7101 0 -2.3941 -2.3941 108.2 "N"
88.6 14.6 19.4 22.3 22.3 1 3 4 7 -1.9284 -1.7101 0 2.0521 2.7362 72.4 "N"
112 12.2 20.3 24.4 25.9 1 1 2 2 -1 1.5321 1.7101 2.5712 1.7101 88.6 "N"
131.2 13.1 21.8 27.1 29 0 0 1 6 -1.8794 1 3.8302 4.3301 0.8682 112 "E"
131.6 14.7 24.8 28.6 29.4 3 3 1 3 -0.866 2.8191 4.3301 6.0622 2.5981 131.2 "E"
125.6 14.7 24.1 28 28.8 1 1 2 2 -0.9397 2.9544 5.6382 2.5712 0.8682 131.6 "E"
155.8 15 22.8 29.6 30.3 0 0 2 2 -0.9848 0.3473 1.5321 -1.2856 0 125.6 "E"
161.4 17.8 22.2 28.4 29.2 6 0 0 3 -1.0261 0 1.0261 0 -0.5209 155.8 "N"
125.4 16.3 23.9 28.2 28.2 0 0 1 3 -1.5321 1.5 4.3301 0 0 161.4 "E"
111.4 14.3 22.8 27.2 28.2 1 1 1 1 -2.2981 1.7101 2.5 -0.8682 0 125.4 "N"
91.4 17.7 21 23 23.9 7 5 8 7 -0.6946 -1.9284 -3 -2 -1.0419 111.4 "N"
68 14 19.9 23.2 24.4 5 5 5 4 -2.5981 -2.5 -1.2155 -2.5 0 91.4 "N"
73 19.1 20.5 23.8 26 8 7 7 4 -4.924 -4 -3.9392 -5.9088 -3 68 "W"
86 14.9 19.7 22.8 24.4 1 5 2 1 -2.9544 -2.5 -3.8567 -3.5 -1.0419 73 "N"
73.8 17.4 20.6 23.2 22.8 6 6 7 7 -1.9696 -3.8302 -2.0521 -4.5 -3.0782 86 "N"
65.4 13.2 16.1 20 19.6 6 6 4 4 0.5209 -1.0419 -1.2155 2.3941 -1.2155 73.8 "N"
65.4 9.6 17.7 21.3 20.7 1 3 5 7 -1.9696 0.6946 -2.0521 -1.2155 0 65.4 "N"
81.2 16.7 18.4 19.1 21.6 7 5 6 2 2 4.3301 3.2139 3.8302 1.7101 65.4 "N"
60.6 10.2 15.9 20.5 20.8 5 7 7 7 -1.2856 -1.5321 1.0419 1.0419 1.0419 81.2 "N"
58.8 15.9 18.7 19.4 20.8 7 7 7 5 1.5 1.5 -0.6946 2.3941 0 60.6 "N"
68 13.1 16.1 21.4 22.1 8 7 7 7 0 -1.9696 -2 -3.2139 -1.9696 58.8 "N"
69.8 11.1 16.9 19.7 19 6 2 5 6 -3 -5.9088 -6.8937 -6.8937 -2 68 "W"
62.2 12 17 20.7 20.2 5 7 7 7 -2.8191 -5 -4 -3 0.684 69.8 "W"
66.2 12 16.2 19 21 7 3 4 5 -0.342 -2.9544 -2.8191 -2.8191 -1.2856 62.2 "W"
64.8 13 17.7 17.5 18.1 7 7 8 8 0.684 2.0521 0 0 1.2155 66.2 "S"
67 17.5 17.1 18.9 16.7 7 8 7 8 -3.0782 -4.1042 -6 -8 -10.3923 64.8 "S"
79.8 15.7 18 20.6 20.7 6 5 7 7 -4.924 -6.5778 -6.8937 -8 -3.9392 67 "W"
65.6 12.8 16.9 20.6 21 1 5 6 7 -1.2856 -3.7588 -1.0419 -5.3623 -1.7321 79.8 "S"
59 15.2 15.6 19 20.2 7 8 7 8 1.2856 0.6428 1.9284 0.6946 -0.5209 65.6 "S"
78 11.5 16.6 19.8 16.5 0 2 5 7 -2.9544 -4.6985 -3.4641 -1.5 -3.0642 59 "W"
56.2 11.3 16.5 18.4 15.2 3 5 4 4 0 -3.4641 -3.7588 -1.2856 -1 78 "W"
70.6 10.2 14 17.8 20.1 5 7 6 5 0 -0.766 -1.8794 -1.5 0.3473 56.2 "W"
45.6 13.8 14.3 13.6 16.1 8 8 8 7 0.6946 1.2155 -3.8567 -1.2856 -4.924 70.6 "N"
48.2 13.6 15.6 17 15.1 8 6 7 7 -1.7101 -3.8302 -4.924 -3.9392 -3.7588 45.6 "W"
75.2 12.5 15.1 17.1 17.5 7 7 6 5 -2.8191 -3.7588 -3.2139 -2 -0.9397 48.2 "N"
83.6 9.8 13.2 19.4 20.1 4 7 4 7 0 0 2.8191 1.8794 1.5 75.2 "E"
75.2 14.3 16.2 19.8 18.4 7 7 6 7 1.9696 1.3681 3.7588 3.7588 4.3301 83.6 "E"
91.8 10.9 15.1 19.2 18.2 2 7 7 7 -0.5209 1.7101 3.5 0 0 75.2 "N"
71.2 13.7 16.4 17.4 18.6 1 6 5 3 0.8682 1.3892 0 0 0.6946 91.8 "N"
72.6 10.4 15.6 18.3 17.5 7 1 3 3 -0.866 2.5712 0 0.8682 0.6946 71.2 "N"
70.8 7.6 12.9 17 18.6 1 3 7 6 0 0 1.7321 0 0.5209 72.6 "E"
53.2 10.8 12.2 18 17.9 9 9 7 7 -0.9397 -1.7321 -0.5 -2.5712 -1 70.8 "N"
66.8 12.4 14.9 14.7 17.9 6 8 7 6 -2.2981 -4.3301 -3.4641 -5 -4 53.2 "W"
58 8.6 12.9 16.1 17.3 4 1 3 6 -1.7321 -1.8794 -2 -1.3681 -0.684 66.8 "N"
49.2 11.4 14.6 16.2 16.8 7 7 7 7 -2.2981 -3.4641 -3.8567 -4.5963 -3.8302 58 "S"
60.4 16.5 17.6 15.9 17.2 8 8 8 5 -5.1962 -4 -4.4995 -3.8567 -2.5712 49.2 "N"
49.6 6.7 11.6 15.8 15.2 4 2 7 6 -0.9848 -1.9696 -5.1962 -1.9284 -0.3473 60.4 "W"
45 7.6 11.1 15.3 15.9 6 7 7 7 -0.1736 0 -1.5 -1.9284 -0.3473 49.6 "S"
52.8 10.9 11.9 14.3 15.3 8 8 8 8 1.0419 2 0 -1.3681 -1.0261 45 "S"
81.8 8.3 10.6 10.3 12.8 7 7 7 7 1.0419 0 1.0419 0 -0.6946 74.6 "S"
79 7.9 11.7 13 12.5 7 7 6 7 1.9284 2.5 1.2155 4 6 81.8 "S"
65.8 8.1 8.9 9.3 10 8 8 7 8 0.8682 0.8682 1.0419 -0.8682 0.6946 79 "N"
85 7.2 10.9 12.3 12.8 8 3 5 7 2.9544 3.9392 3.9392 4.3301 2.5981 65.8 "E"
105.6 4.2 11.1 14.6 16.3 5 1 3 3 0.684 2.9544 4.924 5 4.924 85 "E"
79 8.9 7.5 7.9 10.1 8 8 8 8 5.1962 5.3623 5.3623 4.3301 5.1962 105.6 "E"
71.4 8 9.8 13.6 15.3 8 7 7 7 2.5712 3.8567 3.8567 2.5 3.8567 79 "N"
74.8 9.8 9.2 10.4 9.8 8 8 8 8 2.0521 1.7101 5.1423 4 3.5 71.4 "N"
84.8 6.4 10.3 12.7 12.7 2 2 2 3 3.2139 5.1423 4.5 5.7851 5.1423 74.8 "N"
77 4.8 10 11.6 11.3 1 4 6 7 1.0261 4.4995 2.5 5.6382 3.5 84.8 "N"
71.6 6 10.4 11.4 11.4 7 5 7 7 1.0261 3.4641 2.5 2.0521 2.5 77 "N"
95.4 7.3 10.6 13.1 12.9 7 7 7 7 -1.0261 0.6946 1.7101 2.0521 1.3681 71.6 "N"
95.2 3.2 11.6 14.4 15.2 0 2 6 7 0 0.5209 0.6428 1.3681 2 95.4 "N"
81.2 5.4 13.5 13.1 11.7 3 3 7 8 0 4.6985 3.5 4.4995 3.8567 95.2 "N"
71 10.3 11.4 13.1 13.7 8 8 8 8 3.8567 3.0642 2.5 5.9088 4.6985 81.2 "N"
58.6 9.2 9.1 8.3 8.3 8 8 8 8 3.4641 6.8937 4.3301 2.2981 0.3473 71 "E"
43.2 7.7 8.8 10.1 12.4 8 8 8 7 0 1.2856 0 -0.766 0.684 58.6 "N"
72 10 11.7 16.5 16 9 7 7 6 -0.684 0 0.866 1.9696 0 43.2 "E"
86 6.5 8.4 12.9 14.2 3 7 6 5 -0.8682 -1.3681 -5.3623 -6.1284 -4.5963 72 "W"
82.8 8.7 12.5 13.8 16.3 7 7 6 3 -0.6428 -0.766 -0.6428 -5.9088 -5.1962 86 "N"
88 8.7 13 14.1 16 4 5 6 6 -1.7321 -3.9392 -5.6382 -3.9392 0.342 82.8 "W"
67.2 10 14.2 13.4 12.7 8 8 8 8 1.0261 -4.5 -3 -4.5 -3.5 88 "S"
50 13.1 14.7 16.7 17.4 8 8 7 7 -1.5 -3.8302 -4.5963 -4.4995 -4.5963 67.2 "W"
53.6 12.7 14.4 15.8 17.5 8 7 7 6 -3.8302 -3.8302 -4 -5.7851 -3 50 "S"
62.8 12.3 11.7 13.5 14.2 8 8 8 8 -2.9544 -0.9848 0 -0.766 0.766 53.6 "N"
64 12.2 13.3 13.8 14.5 8 8 8 8 -1.5 -3.4641 -3.8567 -3.8567 -4.3301 62.8 "S"
71.4 12.1 13.6 15.6 16 7 7 7 7 -5 -6.8937 -6.1284 -5.3623 -3.2139 64 "W"
68.4 10.7 13.5 16.7 18.1 7 8 7 5 0.1736 1 -1.0261 -2.5712 -2.5981 71.4 "S"
90.6 11.3 15.2 20.7 22.6 8 2 2 2 -0.5 -2.5981 -1 0.5209 -1 68.4 "S"
112.6 14.9 22.7 26.4 28.4 5 6 5 5 2.8191 1.7101 1.2155 0 -3.8567 90.6 "S"
60.2 13.9 15.5 17.6 18.6 7 7 8 8 -2.8191 -3 -1.7321 -2.5981 -3.8302 112.6 "W"
86.8 10.5 13.4 17.1 17.7 3 7 5 6 -1 -3.9392 -3.7588 -3.8302 -2.9544 60.2 "W"
81.2 10.9 13.6 15.5 15.6 7 7 7 7 0 0 0 1.2155 1.7101 86.8 "N"
90.2 7.7 14.6 18.7 21 0 1 2 1 -0.9848 -1 -2 -2.8191 -3.7588 81.2 "W"
90 13.8 17.9 21.9 24 7 2 1 1 0 0.1736 1 0.1736 -0.342 90.2 "S"
139 15.7 22.8 26.8 28.2 1 1 1 1 1.9696 1.0261 2.2981 2.5981 2.5981 90 "E"
139.6 18.5 26.2 30.8 31.8 3 4 4 1 2.8191 0.684 0.684 0.684 0.684 139 "S"
130 19.3 27 30.6 31.6 0 0 0 1 0.684 0 -0.8682 -1.3892 -3.0642 139.6 "S"
94.6 13.3 12.6 12.6 12.8 7 8 8 8 -2 -2 0 -0.6946 -0.1736 130 "N"
86.8 9.9 16.9 21.4 23.2 2 4 3 2 0.9848 -0.684 -1.5 -2.5981 -2.2981 94.6 "S"
80 15.9 18.7 22.1 24 6 6 5 6 -0.766 -1.2856 0 -2.8191 -2.2981 86.8 "N"
60 14.2 20.2 23.7 24.8 0 1 2 1 -0.9397 -1.5 -3.2139 -4.3301 -3.7588 80 "S"
78.2 16 18.4 18.4 20.7 6 5 7 2 0 -0.8682 1.3681 0 0 60 "N"
121 12.5 19.7 22.6 24.3 0 1 0 0 1.2856 4 4.3301 5.1962 5.1962 78.2 "E"
111.2 14 19.3 23.1 25.3 1 3 2 1 3.9392 4.6985 5.1962 5.6382 5.9088 121 "E"
129.4 15 21.4 25.3 27.3 3 5 5 4 2.8191 3.9392 6.8937 5.9088 4.924 111.2 "E"
126.8 16.5 22.8 27.7 29.1 1 1 1 1 0.866 4 6 4.924 3.9392 129.4 "E"
125 17 23 27.5 28.6 1 2 7 3 0.9848 0.5 0.766 0.3473 1.3681 126.8 "E"
125.8 14.9 22.6 26.9 27.5 1 1 0 1 -0.866 -0.5209 -2.2981 2 0.8682 125 "W"
113.8 16.5 22 27.2 27.7 2 5 6 7 2.8191 1.0261 -1.3681 -4.5963 -4.3301 125.8 "S"
64.6 15.9 18.8 21.3 22 1 5 6 6 -3 -3.9392 -4.6985 -3.9392 1.7101 113.8 "W"
94.8 14.7 17.7 17.2 19.6 6 6 7 2 0.3473 1.7101 2.3941 2.3941 0 64.6 "N"
98.2 10.5 16.1 18.7 19.1 0 3 3 5 -2.2981 -1.5 -3.2139 -1.7101 -1.0419 94.8 "N"
113.2 10.5 16.6 19.4 20.9 0 2 4 4 0 0.6946 2.5 2.5 2.3941 98.2 "N"
96.4 10.7 18.1 20 20.9 1 3 6 5 -1.7321 -0.8682 0 0 0 113.2 "N"
95.6 11.4 18 21.6 22.6 7 6 5 5 -1.2856 -1.0261 0.5209 0 -0.8682 96.4 "N"
62.6 12.5 15.1 17.1 20 8 8 8 7 -0.766 -1.2856 -2.5981 0.8682 0 95.6 "W"
41.8 16.1 17.6 20.6 19.7 8 8 8 8 0 -0.342 -0.9397 0 0.5 62.6 "W"
72.6 14.7 19.6 21.7 22.1 7 6 7 7 -1.7321 -4 -4.6985 -4.6985 -5.6382 41.8 "W"
72 14.7 16.3 18.1 19.1 7 7 7 5 -3.4641 -6.0622 -5.7851 -4 -2.3941 72.6 "N"
57.4 13 15.7 18.2 16.7 7 7 8 8 -2.2981 -3.7588 -5.9088 -3.7588 -4.924 72 "W"
69.6 13.7 16.6 17.7 19.1 6 7 7 6 -3 -4.924 -4.6985 -6.8937 -5.6382 57.4 "W"
53.2 13.5 16.8 18 19.5 7 6 7 7 -2.9544 -3.9392 -4.924 -3 -3.7588 69.6 "W"
38 14 17.9 18.9 17.6 8 7 8 8 0 -6.5778 -3.8567 -4.5963 -5.6382 53.2 "S"
65 14.2 17.2 21 21.1 5 6 6 5 -4.924 -6 -6.5778 -5.6382 -4.3301 38 "W"
49.4 12.8 14.3 18.1 15.2 8 7 7 7 -1.3681 -2.2981 -2.5981 -0.6428 -0.1736 65 "W"
58.2 10 15.1 18.5 13.4 2 6 7 8 -1.8794 -4.3301 -4.6985 -5.1962 0.3473 49.4 "W"
73.6 10.6 15.1 17.6 17 7 7 6 5 0 1.7101 0 2.3941 -1.2155 58.2 "N"
62 12.1 16.8 19.6 20.6 3 7 6 4 -2.5712 -1.7101 -2.0521 -1.0419 0 73.6 "N"
56 11.1 17.7 19.2 18.6 1 5 7 8 -2.9544 -2.9544 -4.924 -4.924 -3.9392 62 "W"
70.8 15.5 18 20.5 21.6 8 7 5 2 -1.5 -1.7101 -2.0521 0 1.0419 56 "N"
73 14.2 15.3 17.4 22.8 8 8 8 1 0.5209 -0.684 -1.7321 -1.8794 2.0521 70.8 "W"
54.8 13 15.4 18.6 22.2 8 7 7 7 -1.7321 -3.2139 1.0261 -1 2.5712 73 "N"
33.6 17.3 19.1 21 22.1 7 7 7 7 -1.8794 -0.866 -1.5321 -1.5321 0 54.8 "W"
57.2 17 18.6 23.1 26.2 8 7 3 1 1.9284 1 -0.3473 -0.5209 2.0521 33.6 "N"
96.4 17.7 19.5 24.4 26.8 8 7 6 6 1.0261 1.5 3.4641 2 4.6985 57.2 "E"
105.6 15.4 20.5 24.5 27 0 0 0 0 4.6985 5.6382 6.5778 6.0622 5.6382 96.4 "E"
114.4 15.3 22 25.9 28.6 1 0 0 0 3.9392 4.924 4.924 4.6985 5.1962 105.6 "E"
119.8 15.2 22.7 27.2 29.3 1 2 2 0 1.2856 1.8794 4.6985 3.7588 3.9392 114.4 "E"
126.2 15.2 22.9 26.9 29.5 3 3 2 1 1 2.9544 3.9392 1.9696 2.8191 119.8 "E"
151.4 14.1 24.2 29.2 31 1 3 1 1 0 1.5321 1.2856 0 -0.342 126.2 "N"
143.2 14.8 24.5 31.3 31.9 2 2 1 1 0 0.342 1.9696 3.4641 2.2981 151.4 "E"
134.4 18.2 27.1 32.2 33.8 0 0 1 1 2.5981 3.8302 3.0642 -1.7101 0 143.2 "E"
117.8 16.7 21 25.7 26.4 1 4 2 5 -1.5321 -2.9544 -4.924 -4.3301 1.7101 134.4 "W"
69 16 19.6 22.1 22.7 7 6 5 3 -2.8191 -3.2139 -1.7101 -1.0419 1.0419 117.8 "N"
103.6 12.5 20.7 24.6 26 1 1 5 3 -0.342 2.8191 2.8191 3.4641 2.3941 69 "E"
