group1,group2,value,weight
A,C,1.01369034746575,6
B,C,0.252750135066342,7
A,C,-1.17194831284112,5
B,C,0.668714328525034,3
A,C,-1.65010093484436,3
B,C,-0.365852248191901,3
A,C,-0.31611832883308,8
B,C,-1.94824604732137,10
A,C,0.920057522390905,2
B,C,-0.622871594878875,6
A,C,-0.334036649997458,6
B,C,1.39514789252962,8
A,C,0.63667441103895,5
B,C,-0.108431696990383,9
A,C,0.513762778404674,8
B,C,0.399271807273958,4
A,C,1.6628564474304,2
B,C,0.275893403585483,3
A,C,0.506272623207687,5
B,C,0.347551975023811,3
A,C,-0.377237647496313,7
B,C,0.0976194631092374,8
A,C,1.63874464512173,2
B,C,-0.875592474189569,10
A,C,0.121759998641046,1
B,C,1.36213066084498,5
A,C,-0.23462108692271,2
B,C,-1.05338280794309,3
A,C,-0.869783605635912,5
B,C,-0.390127029647055,9
A,C,-0.847350073129572,9
B,C,-0.260639392099399,2
A,C,-0.414419706341893,10
B,C,-0.183050797719434,3
A,C,0.407056097880578,9
B,C,0.624633128202147,7
A,C,1.67820574370471,2
B,C,-0.0686936535649907,1
A,C,-0.320839912658177,1
B,C,1.47100571704891,9
A,C,1.7043293978271,2
B,C,0.0432440375575291,1
A,C,-0.332657319133519,10
B,C,-1.8222354175631,7
A,C,1.41126239874678,1
B,C,-0.837582434076861,8
A,C,-1.12376279439532,3
B,C,3.04376588609529,2
A,C,0.235021308250671,2
B,C,-0.0332586101133057,7
A,C,-2.7322195229558,5
B,C,-0.0997905884418961,6
A,C,0.976031734922396,5
B,C,0.413868915451097,6
A,C,0.912322161610113,7
B,C,1.98373220068438,4
A,C,1.16910851401363,1
B,C,-0.50873701541522,1
A,C,0.704180178465512,4
B,C,-0.198416273822079,2
A,C,-0.538070788884863,8
B,C,-2.85575865501923,9
A,C,-0.789646852263761,1
B,C,0.487814635163685,10
A,C,2.16803253951933,10
B,C,0.500694614280786,9
A,C,0.62021020366732,3
B,C,-0.965903210133575,5
A,C,0.162654708118265,4
B,C,-2.07823754188738,6
A,C,0.485226820569252,10
B,C,0.696768778564913,7
A,C,0.185513915583057,1
B,C,0.700733515544461,7
A,C,0.311681028661359,7
B,C,0.760462361967838,6
A,C,1.84246362620766,8
B,C,1.1123628412626,8
A,C,0.0326639575014441,7
B,C,-1.11444896479736,4
A,C,0.418057822385083,7
B,C,-0.400235237343163,6
A,C,1.49349310261748,8
B,C,-1.60708093984972,6
A,C,-0.415751788401515,7
B,C,0.42200837321742,3
A,C,-0.151736536534977,9
B,C,-0.60615111526422,6
A,C,-0.304721068966714,3
B,C,0.629536099884472,1
A,C,0.895171980275539,6
B,C,0.660212631820405,10
A,C,2.27348352044748,4
B,C,1.17349757263239,6
A,C,0.287709728313787,5
B,C,-0.659770093821306,10
A,C,2.91914013071762,1
B,C,0.677415500438328,6
A,C,-0.684320344136007,1
B,C,0.186492083080971,4
A,C,-0.324393300483657,4
B,C,-0.274704218225806,2
A,C,-0.933503340589868,8
B,C,0.116845344986082,7
A,C,0.319160238648117,1
B,C,-1.07754212275943,10
A,C,-3.23315213292314,9
B,C,-0.254874652654534,2
A,C,0.0295178303214797,9
B,C,0.594273774110513,5
A,C,0.0591351681787969,3
B,C,0.413398894737046,3
A,C,-1.09777217457042,8
B,C,0.711175257270441,7
A,C,0.718888729854143,1
B,C,0.251651069028968,10
A,C,1.35727443615177,1
B,C,0.404468471278607,9
A,C,0.264364269837939,6
B,C,0.268043904143697,9
A,C,0.436930577039483,6
B,C,1.06012390548736,4
A,C,0.452190396528715,9
B,C,0.663198615687065,1
A,C,-1.13637355399084,3
B,C,-0.370497517092117,1
A,C,1.47696958979247,4
B,C,-1.22390375051376,8
A,C,0.258068387396106,6
B,C,0.405002805433516,6
A,C,0.97580332180945,10
B,C,-0.348876736539909,3
A,C,0.158625439491262,3
B,C,-1.76325506654115,1
A,C,0.338596047099905,3
B,C,-0.666565029559273,3
A,C,-0.238646624327644,10
B,C,-1.18776528245719,5
A,C,0.384935321768578,1
B,C,0.66657951565448,8
A,C,-0.304613889457735,5
B,C,1.8250110640863,5
A,C,0.670559370567588,3
B,C,0.948632573255153,4
A,C,2.04940300167091,4
B,C,-0.651113609237535,3
A,C,0.808619272846293,4
B,C,0.986580613954563,6
A,C,-0.00617079609070003,4
B,C,0.319052357931912,7
A,C,-1.01182190274184,7
B,C,0.470167547726389,5
A,C,-0.700970331629097,8
B,C,0.813682862526491,6
A,C,-0.811430783992772,7
B,C,0.31939748709946,6
A,C,-0.846522653163624,8
B,C,-0.245763179128733,3
A,C,-1.55285901110546,6
B,C,0.128434032925753,10
A,C,0.985443389404868,5
B,C,0.183247523067191,1
A,C,-1.76622921343046,5
B,C,-0.620533696615944,10
A,C,1.65604303699874,4
B,C,1.80980538558388,7
A,C,-1.17503676801214,3
B,C,-0.366703258827641,9
A,C,0.353625448927287,1
B,C,0.319156220867898,3
A,C,-0.579956989019402,10
B,C,-0.953278701946907,2
A,C,-0.179428586945621,6
B,C,1.0098082149443,8
A,C,0.0236266149214088,8
B,C,-0.649028219583901,3
A,C,-0.504374222048191,5
B,C,1.61439149545836,3
A,C,-0.446959811255663,9
B,C,0.763176761113315,2
A,C,1.4717186861858,4
B,C,0.443664903687416,6
A,C,-0.421721870070189,9
B,C,-0.0400016262060736,2
A,C,-0.492279968227887,3
B,C,1.22771711731275,4
A,C,-0.149553565244392,7
B,C,1.54998338398246,9
A,C,-0.561612535381314,3
B,C,-0.647117250632361,3
A,C,0.143132159050427,10
B,C,0.0241886479910512,10
A,C,-0.504451524580869,9
B,C,-1.58139680993034,2
A,C,0.030066421255418,1
B,C,-0.716576699070701,5
A,C,1.08261095547612,7
B,C,-0.952685454939293,9
A,C,1.12648272900916,7
B,C,-0.649043017379116,8
A,C,0.292470078406726,1
B,C,0.898702724402737,9
A,C,-0.518742356791874,8
B,C,0.554438552345125,5
A,C,-0.0879736711840128,10
B,C,-1.13521292940752,8
A,C,-0.270079610999902,10
B,C,1.61978987753494,9
A,C,-0.21413117369664,9
B,C,-0.817782462924957,2
A,C,-0.0540229240816071,2
B,C,0.330141609857869,4
A,C,0.955324614657399,8
B,C,1.14395987779244,6
A,C,0.100522398375063,8
B,C,1.16457524565738,7
A,C,-0.764259947799148,4
B,C,-2.3445134046903,6
A,C,-0.471683425529536,2
B,C,-0.51585548950739,2
A,C,-2.31603615150256,9
B,C,0.562471756969533,2
A,C,-0.783775139422381,7
B,C,-0.226053986228165,6
A,C,-1.58710298765404,2
B,C,0.547524201868316,8
A,C,1.89122701735548,2
B,C,-0.878077110224044,9
A,C,-0.112558911044787,2
B,C,1.94871306497599,10
A,C,0.933816332207727,5
B,C,1.91305942169705,6
A,C,-0.00523405793193957,3
B,C,-0.152260048921635,9
A,C,-0.509631657179118,7
B,C,1.43457370342612,9
A,C,-1.28583853233299,8
B,C,0.307314215255018,7
A,C,-0.046318533277383,4
B,C,2.25184180012688,6
A,C,-0.608033728609708,3
B,C,-1.50928816985104,9
A,C,0.232631769508576,10
B,C,-0.0396486960510932,8
A,C,-0.839125067505345,9
B,C,0.132291088244156,4
A,C,-0.275524746705939,5
B,C,-0.678758641268032,3
A,C,0.500835931775825,10
B,C,-0.331662312006789,9
A,C,-1.83498025077253,1
B,C,-2.65174124837268,4
A,C,-0.580582172084415,9
B,C,1.45418687087119,8
A,C,0.838129379964693,10
B,C,1.21505358044614,9
A,C,0.982505442732795,6
B,C,0.315764024018431,4
A,C,-1.50706262771632,3
B,C,0.205569787166277,4
A,C,1.59722809034381,4
B,C,-3.39606353457436,6
A,C,-0.781352284302082,7
B,C,1.10246464075191,9
A,C,0.528745019445293,7
B,C,0.789394403514854,1
A,C,0.457099505856081,7
B,C,0.538833115658123,10
A,C,0.0146431224111012,10
B,C,-0.916489135703093,2
A,C,-1.22681509076766,4
B,C,0.0361528681302234,2
A,C,-0.42139311357139,3
B,C,-0.899364408462905,3
A,C,0.417441317486562,10
B,C,0.15344473686401,6
A,C,1.46328304519325,5
B,C,-1.12150249732554,9
A,C,-0.517788083055024,1
B,C,-0.0749470883385233,7
A,C,-1.40779008143908,5
B,C,-0.284705868110477,1
A,C,-0.708171178213376,7
B,C,-2.14763900113752,7
A,C,-0.283837160611358,6
B,C,-0.534072163976087,3
A,C,1.1330101941542,1
B,C,-0.604068922847656,6
A,C,0.557511595592472,1
B,C,0.142629293255087,5
A,C,-1.23686021484532,10
B,C,0.37414397250319,10
A,C,-0.106086123466453,7
B,C,0.166061986509049,8
A,C,0.658034848342406,6
B,C,0.113962919971386,8
A,C,1.58515916403119,8
B,C,0.115553440443324,6
A,C,-1.25399903928352,10
B,C,0.74186477930074,2
A,C,-1.22290161499985,7
B,C,-1.91889413176211,4
A,C,-0.809936389920794,7
B,C,-0.744677228785278,1
A,C,-0.607505922693199,10
B,C,1.60675956606494,1
A,C,1.63559944628363,6
B,C,0.726091096698492,7
A,C,-1.27383492504346,7
B,C,0.0231465554333402,1
A,C,0.487121233826478,7
B,C,-0.137027503269731,8
A,C,0.171745482456009,8
B,C,-0.944793914899987,8
A,C,-1.28762030600621,4
B,C,1.40776573875103,1
A,C,0.26737268905316,1
B,C,-0.408397642146012,6
A,C,0.325271219916941,7
B,C,2.06248097311935,8
A,C,0.362666955663951,4
B,C,1.4114046447039,10
A,C,1.36754431457543,2
B,C,-0.407176147121539,8
A,C,0.762541730885853,1
B,C,-0.651200823031723,1
A,C,-1.47365577946832,5
B,C,-1.20166579640511,5
A,C,-0.148720478130092,7
B,C,1.79706242855231,7
A,C,0.104808717855571,3
B,C,-0.802837973351476,1
A,C,0.230374964163675,2
B,C,0.697975193218088,7
A,C,-1.29520173194588,5
B,C,-1.05468021797766,8
A,C,-1.94160748967507,6
B,C,-1.26956059300372,10
A,C,-0.887438810816108,10
B,C,-0.291915762703194,10
A,C,1.41009405297303,4
B,C,0.88864143026394,9
A,C,0.272974319690261,2
B,C,-0.566641466026189,7
A,C,-0.0402069374365745,8
B,C,0.547612245301063,5
A,C,-0.504033321605536,4
B,C,1.0590701295588,7
A,C,1.09745356643579,2
B,C,-1.16650462962559,1
A,C,-0.74691131008606,5
B,C,1.20673873333927,1
A,C,-1.68721988054335,8
B,C,0.419709894906327,3
A,C,0.233498761638796,7
B,C,3.19590119785739,1
A,C,-2.72968034122695,2
B,C,-0.840795801424047,10
A,C,0.674028668650456,7
B,C,1.67432650967139,9
A,C,0.839687083840494,2
B,C,-1.42836843555519,6
A,C,2.23938816916782,9
B,C,-1.75726622410175,4
A,C,-1.11301608790466,7
B,C,-0.0431403906133336,1
A,C,2.2255869089066,10
B,C,0.50631658733822,2
A,C,0.730396051435768,6
B,C,1.72807759473682,6
A,C,0.984779968314556,7
B,C,-1.22473787596427,9
A,C,0.709726218065825,9
B,C,-0.109219992578064,1
A,C,1.78260789538833,5
B,C,-0.243444679602975,2
A,C,-1.52710702225461,10
B,C,0.491834371466622,7
A,C,0.354503660926992,7
B,C,-0.0176263476303775,4
A,C,-1.05655032211723,2
B,C,-0.838914666078269,9
A,C,-0.0126257164904259,2
B,C,1.03811014600433,8
A,C,-0.364457713905061,10
B,C,-0.871449472185395,8
A,C,-2.7042030254467,10
B,C,0.494249836540647,6
A,C,0.427340324999113,10
B,C,1.30919086010968,2
A,C,1.4667226423107,6
B,C,-0.143056066294616,8
A,C,1.29851372621074,3
B,C,0.00131354755592194,3
A,C,-0.676410075685581,2
B,C,-0.848196596885468,7
A,C,-0.346941100407436,8
B,C,0.227479443027071,5
A,C,-0.0274014036111113,2
B,C,0.200877790585033,3
A,C,0.198942671822796,6
B,C,0.71459935608369,3
A,C,-0.273181774889849,9
B,C,1.63534745793173,4
A,C,0.437693886479643,3
B,C,-1.19353585074908,10
A,C,-0.276649804199181,9
B,C,0.515883050535119,9
A,C,-0.411055332086343,9
B,C,0.344995049472574,5
A,C,0.434395860831138,10
B,C,1.30347768300503,7
A,C,-0.651695910733076,3
B,C,-0.0168808623279884,3
A,C,-0.567692455293591,2
B,C,-1.12713286976328,9
A,C,-1.84897031117903,1
B,C,0.19552905518189,1
A,C,0.601565225195587,4
B,C,0.639158159789933,6
A,C,-1.38999281746208,2
B,C,-1.12967785339758,7
A,C,-1.14115419483757,6
B,C,-0.688671499600886,2
A,C,0.170197818152129,4
B,C,0.59448342725741,9
A,C,-0.815032650724957,7
B,C,-2.86434683706673,4
A,C,0.95382348170826,9
B,C,0.615284770613444,9
A,C,-0.700870700550263,8
B,C,-1.07366134146979,6
A,C,-0.299991196799737,5
B,C,0.108106562802571,6
A,C,0.723200763587674,10
B,C,1.39009509607427,8
A,C,-0.848883398378404,1
B,C,0.290722844643498,3
A,C,1.33417603370242,10
B,C,-0.901342155259083,3
A,C,-0.222763412932851,4
B,C,-1.7714680282034,6
A,C,0.287422250114445,9
B,C,-0.641191762323999,8
A,C,-0.924937642238947,3
B,C,-0.779977469185323,5
A,C,0.444503373594371,9
B,C,-2.16246900261166,6
A,C,-0.425510899920945,5
B,C,-1.01371765920455,5
A,C,-0.962119028303747,3
B,C,0.474634627277364,5
A,C,0.351754269604537,8
B,C,-0.107020356246981,10
A,C,0.537517256600346,9
B,C,-0.60210489844813,2
A,C,-2.02329764533368,6
B,C,1.15442128059814,2
A,C,-0.230692997694109,1
B,C,-0.365088768214911,8
A,C,0.157517929375723,9
B,C,0.765932222984396,6
A,C,0.426086966202313,3
B,C,0.927265399965311,9
A,C,0.0461345928404875,7
B,C,-0.504285643091111,10
A,C,-0.300449408355562,7
B,C,0.822915978645871,6
A,C,-0.849268796129039,8
B,C,-0.953610095681196,10
A,C,0.313478715882576,5
B,C,0.612473307433314,5
A,C,-1.69108322753688,9
B,C,0.784698627442325,6
A,C,0.0119251352600229,9
B,C,-0.181255287869961,4
A,C,1.10695440248067,3
B,C,1.47939487098826,1
A,C,-1.14739944099984,1
B,C,1.011654376514,7
A,C,-0.632069194974882,8
B,C,0.13236131951909,9
A,C,0.480926064725324,1
B,C,0.133177627584607,9
A,C,-1.46286446232819,7
B,C,-0.506401780474741,7
A,C,1.53966323733755,10
B,C,0.172793618387291,1
A,C,-0.835823924079678,6
B,C,-0.655928703879608,9
A,C,1.05756608653532,4
B,C,0.346083489865367,3
A,C,-0.897186541993694,5
B,C,0.00626521125563042,10
A,C,0.59667050907573,1
B,C,1.72255180794401,8
A,C,-0.881749483409345,9
B,C,-0.379945955166868,7
A,C,0.996110015873762,3
B,C,-0.459120892943841,9
A,C,1.46026574621257,5
B,C,1.04324617695035,8
A,C,-1.65904097034683,7
B,C,0.423957776227396,7
A,C,-1.41916292618524,2
B,C,-1.46469245667068,6
A,C,0.0704209721478317,1
B,C,0.0566982219802716,1
A,C,-0.0327081772655874,8
B,C,1.26428122406637,7
A,C,0.294987885730239,3
B,C,-0.673086820504489,9
A,C,0.119588291490956,7
B,C,-0.514396508991294,2
A,C,-0.0681115738665369,2
B,C,-1.14801191183674,2
A,C,-0.115244480129169,10
B,C,0.102936391849009,6
A,C,-0.701743487103139,2
B,C,0.041230624270294,9
A,C,-0.648768350598479,5
B,C,-0.644007859466443,2
A,C,-0.204438825066372,3
B,C,0.490840917661593,5
A,C,-0.20533698727053,1
B,C,0.190691323925256,6
A,C,0.970024192661124,8
B,C,-0.285261077847069,5
A,C,-0.103619268541766,2
B,C,0.511254541203706,5
A,C,-1.25816245001572,10
B,C,0.543825968956194,3
A,C,-0.534963586582989,7
B,C,-1.13804602678007,7
A,C,-1.76800377087565,7
B,C,-0.714978202867742,5
A,C,-1.17020226435962,1
B,C,-1.17844814841946,3
A,C,1.62729133795333,7
B,C,-1.21214666562853,5
A,C,0.997509917441285,6
B,C,0.545245641420171,5
A,C,-0.88478911517512,8
B,C,-0.611230697881371,6
A,C,-0.410199512833357,4
B,C,0.190409369836815,10
A,C,-0.348324928959338,2
B,C,0.826847530284988,4
A,C,-0.292686902302723,3
B,C,-2.16534620996324,5
A,C,-0.0962167762033804,4
B,C,-1.85195684624858,3
A,C,0.937811135232089,10
B,C,-0.747686481439497,7
A,C,-1.11524143570017,7
B,C,-0.591506415298824,4
A,C,0.585230683909193,10
B,C,-1.91855819930986,3
A,C,0.253816791504093,3
B,C,-0.972241766246169,10
A,C,-0.00851344803801686,5
B,C,0.679041911007479,2
A,C,0.569631366692422,9
B,C,1.5029616611284,3
A,C,0.129085401165474,9
B,C,-0.701182951676618,9
A,C,2.15370721597723,4
B,C,-0.30324613826175,5
A,C,0.807579776908013,5
B,C,0.930991466126415,6
A,C,0.454902098272933,10
B,C,1.4254206900636,1
A,C,-0.20899117251275,3
B,C,-1.23140277909061,4
A,C,-0.360603577153347,8
B,C,-0.547213299484056,4
A,C,0.327996007514467,7
B,C,-0.933299832093657,7
A,C,0.680810824800176,2
B,C,-1.16388240018636,7
A,C,1.75544950988335,8
B,C,1.44963736425491,10
A,C,-0.448794941211084,1
B,C,0.140067288930464,8
A,C,-0.373650328177582,6
B,C,-1.20643411723808,6
A,C,-2.66134597494101,7
B,C,-0.0250944932655905,2
A,C,-0.0343732572490637,9
B,C,1.64235903904485,2
A,C,-1.99546214753883,5
B,C,-0.662170758602409,2
A,C,0.880037992310033,9
B,C,0.342387420001643,9
A,C,0.121753855523786,1
B,C,-0.620761034511813,6
A,C,0.200945267574023,1
B,C,-0.235905348023341,4
A,C,0.113661114970227,7
B,C,-0.577929195287818,9
A,C,1.18856488583833,5
B,C,1.05993627812147,3
A,C,1.33675821086468,8
B,C,-0.367169171130217,7
A,C,-0.304336704778395,2
B,C,-0.350279624235713,8
A,C,1.37414476272803,2
B,C,-0.299720491875069,6
A,C,0.0976351442252321,7
B,C,0.381188028723722,1
A,C,0.678212556818783,9
B,C,-0.26767327223427,4
A,C,2.34596566433491,8
B,C,-0.927494655524829,7
A,C,-1.42655717369774,3
B,C,0.0423026643898127,1
A,C,1.76744347000481,1
B,C,0.0527503271453671,3
A,C,0.109726039969968,8
B,C,0.863202615558153,4
A,C,-0.0989732047696172,2
B,C,0.103696546086221,2
A,C,1.20848487568464,8
B,C,0.0937460210527718,1
A,C,-0.752196518946083,8
B,C,0.394924219872661,7
A,C,-1.09152043398742,7
B,C,-1.45829242499569,5
A,C,-0.122712284955754,6
B,C,-1.1009291916684,9
A,C,0.580923071839757,1
B,C,-0.146947489359788,7
A,C,-0.766334615072354,1
B,C,1.62289757854462,7
A,C,-0.109940544035991,3
B,C,1.42170485426206,9
A,C,-0.113421048996398,2
B,C,-0.329280941581153,8
A,C,0.373460983597143,8
B,C,1.02988813093981,10
A,C,2.70577504719934,6
B,C,-1.03494587124924,10
A,C,-0.183429858640727,7
B,C,1.07777130745133,2
A,C,0.341620225298793,3
B,C,-0.187343624118674,1
A,C,-1.30285910852947,10
B,C,-0.278658261975666,8
A,C,-0.184753908458266,4
B,C,-0.0817774971735639,4
A,C,1.61224179372707,2
B,C,-0.461939839504668,4
A,C,-1.57605030081864,5
B,C,0.496433073531127,4
A,C,-0.111953783818969,1
B,C,-0.204346400211973,10
A,C,0.635568162856401,9
B,C,-2.90667395407155,3
A,C,-0.553658252760955,8
B,C,-0.153451828250923,4
A,C,0.60529051576044,2
B,C,-0.261006596184361,4
A,C,-1.00513846241125,9
B,C,0.372566114312583,2
A,C,0.0194461765201242,6
B,C,0.110528815395276,4
A,C,1.15657043692358,10
B,C,-0.542220460211763,7
A,C,-1.24920128341908,9
B,C,-1.28001259675319,9
A,C,-1.02393278779038,3
B,C,-1.38765057998806,1
A,C,-0.0492211144061267,5
B,C,1.81096073048314,4
A,C,-0.0995100657082667,10
B,C,0.777237124297383,7
A,C,-1.10259632518001,4
B,C,-0.221644782701794,1
A,C,0.5660949625959,10
B,C,-0.354959345255063,2
A,C,0.785262601468044,10
B,C,0.694047378599404,3
A,C,-0.632729895584955,7
B,C,-0.771958641961308,6
A,C,2.3578173876011,1
B,C,-0.19254933635981,4
A,C,0.00661933421419712,5
B,C,-0.0545460246273611,4
A,C,-0.568206880540376,8
B,C,-0.926975943696645,3
A,C,-1.1357351813807,5
B,C,0.913962339054452,4
A,C,-0.986062833322873,2
B,C,0.66748541348963,6
A,C,1.40659548970662,1
B,C,1.15777896011788,9
A,C,-0.138753197573533,3
B,C,-0.539321850960138,10
A,C,-1.07889349906152,1
B,C,-0.0185621399511091,6
A,C,-0.232615685678704,7
B,C,0.15629354251416,4
A,C,-0.604009754754033,1
B,C,0.629035120121665,4
A,C,0.714169570852022,4
B,C,1.07588610128876,8
A,C,2.24975551737932,6
B,C,0.197890598879292,6
A,C,-0.575546318478704,6
B,C,-0.0773208650045946,8
A,C,-1.62791988910102,8
B,C,0.129923153969037,2
A,C,-0.425673133260061,4
B,C,0.406011748521125,3
A,C,-0.268810185638072,2
B,C,-1.38098453629771,8
A,C,0.0365833213445593,10
B,C,-1.35324453117639,2
A,C,0.897006193942258,5
B,C,-1.82935971226393,10
A,C,-0.141876944171991,3
B,C,0.457981777842779,5
A,C,-1.51961751308999,1
B,C,1.39905531466027,8
A,C,-0.885339190903023,3
B,C,-0.506330291221321,3
A,C,0.163332105966331,9
B,C,-0.337143856258392,4
A,C,-1.03595153200983,7
B,C,0.409337928216715,9
A,C,-0.524223458216886,6
B,C,0.506500373524185,9
A,C,-0.504722862774708,6
B,C,-0.957250328953504,9
A,C,-0.0946343584532563,5
B,C,0.649439317610584,1
A,C,0.242321799327066,3
B,C,-0.0589340902617142,3
A,C,-1.94779407157618,1
B,C,1.4514436318915,10
A,C,-0.0399396776377224,7
B,C,-0.863997691069911,10
A,C,-0.201690239712518,4
B,C,0.261255562727432,7
A,C,-1.51835138330586,8
B,C,0.717308632275803,8
A,C,0.246832728096417,7
B,C,1.20276704630509,10
A,C,0.986039270447351,7
B,C,-0.537940599062239,10
A,C,-0.490282741813956,7
B,C,-0.995516172562447,1
A,C,-0.361702928254615,2
B,C,0.944354811296923,7
A,C,1.79220701161545,4
B,C,0.928409395864299,10
A,C,-1.82993766963068,8
B,C,0.821878106163116,5
A,C,1.0362687620034,7
B,C,0.617420144129801,1
A,C,-0.854930363118786,1
B,C,1.06451051848471,3
A,C,0.729481458103667,3
B,C,0.66265658435809,6
A,C,-0.381407202704243,2
B,C,0.845891777793581,8
A,C,0.111591884445813,2
B,C,-0.0677702616560359,9
A,C,1.48709809651828,5
B,C,0.75722337664623,4
A,C,-2.87404249339871,3
B,C,-0.426542449077482,3
A,C,-1.48740629563197,10
B,C,0.588791645710936,1
A,C,-0.44259951077578,2
B,C,0.901304802320198,1
A,C,0.467828340367688,2
B,C,0.0220403186670302,2
A,C,-0.0851078317956122,4
B,C,-0.361267142653458,4
A,C,0.199506501537268,8
B,C,-1.1082542547003,9
A,C,0.672794070486354,6
B,C,-0.39411363337364,5
A,C,-0.743967585584992,10
B,C,-0.32611347678341,1
A,C,1.87466882681447,3
B,C,-1.75799914534674,1
A,C,-0.348860909964869,10
B,C,0.106589229118385,6
A,C,-0.537658781205147,4
B,C,-0.411269131911835,4
A,C,0.382348337976121,7
B,C,0.222514088542642,10
A,C,-0.673754508319701,8
B,C,0.567432913870525,7
A,C,0.17948365476,9
B,C,0.686341749488027,8
A,C,-1.32726366148341,10
B,C,-0.767916438222332,10
A,C,-0.192702508672789,2
B,C,0.95905119808221,6
A,C,-0.529031361979442,5
B,C,-1.03288699095086,10
A,C,0.771745490447405,8
B,C,0.465356664198533,9
A,C,-1.22567106691397,4
B,C,2.04667724022033,4
A,C,1.49867444889729,10
B,C,-1.38894908467684,10
A,C,2.15337646372281,5
B,C,-1.72911674054936,3
A,C,0.102042485094495,2
B,C,-1.14127912749709,1
A,C,-0.377009088203781,10
B,C,-0.348782098762047,7
A,C,0.322885081228563,4
B,C,-1.12433961794016,4
A,C,-2.75704972232067,10
B,C,-0.0958110991197285,4
A,C,-0.746699804956649,10
B,C,0.210781418005385,3
A,C,-0.848509808508819,10
B,C,0.792264765704344,4
A,C,0.0291874325756546,7
B,C,0.603388012483792,10
A,C,-0.994940104813448,6
